Date,Price,Open,High,Low,Vol.,Change %
"May 24, 2018","1,801.85","1,755.00","1,807.50","1,751.17",2.96M,3.11%
"May 25, 2018","1,792.90","1,812.50","1,837.40","1,786.28",3.77M,-0.50%
"May 28, 2018","1,751.03","1,808.25","1,808.25","1,743.00",3.72M,-2.34%
"May 29, 2018","1,761.75","1,764.95","1,772.00","1,744.00",3.53M,0.61%
"May 30, 2018","1,757.05","1,754.53","1,766.50","1,741.25",3.78M,-0.27%
"May 31, 2018","1,741.05","1,734.00","1,759.05","1,726.10",5.05M,-0.91%
"Jun 01, 2018","1,732.45","1,754.00","1,757.50","1,716.30",1.60M,-0.49%
"Jun 04, 2018","1,744.25","1,745.00","1,749.00","1,712.60",1.68M,0.68%
"Jun 05, 2018","1,721.60","1,744.00","1,751.90","1,711.15",2.45M,-1.30%
"Jun 06, 2018","1,725.75","1,723.00","1,734.90","1,715.20",2.24M,0.24%
"Jun 07, 2018","1,735.55","1,725.00","1,749.00","1,723.80",2.41M,0.57%
"Jun 08, 2018","1,747.10","1,735.00","1,757.30","1,735.00",2.58M,0.67%
"Jun 11, 2018","1,749.70","1,747.10","1,763.00","1,743.00",2.18M,0.15%
"Jun 12, 2018","1,781.00","1,757.00","1,785.00","1,753.00",4.61M,1.79%
"Jun 13, 2018","1,824.10","1,816.00","1,831.65","1,798.00",5.37M,2.42%
"Jun 14, 2018","1,787.55","1,830.00","1,832.30","1,784.00",3.82M,-2.00%
"Jun 15, 2018","1,840.05","1,800.00","1,847.10","1,788.60",9.18M,2.94%
"Jun 18, 2018","1,829.00","1,867.95","1,867.95","1,822.15",4.67M,-0.60%
"Jun 19, 2018","1,824.50","1,822.15","1,839.00","1,821.00",3.25M,-0.25%
"Jun 20, 2018","1,822.45","1,832.00","1,836.30","1,818.60",3.11M,-0.11%
"Jun 21, 2018","1,819.35","1,832.00","1,832.00","1,817.60",2.91M,-0.17%
"Jun 22, 2018","1,809.80","1,827.00","1,827.00","1,799.55",2.95M,-0.52%
"Jun 25, 2018","1,819.25","1,811.90","1,822.35","1,806.00",2.08M,0.52%
"Jun 26, 2018","1,852.00","1,823.00","1,861.00","1,821.00",4.68M,1.80%
"Jun 27, 2018","1,858.00","1,860.00","1,885.15","1,851.25",4.08M,0.32%
"Jun 28, 2018","1,842.70","1,865.00","1,871.00","1,826.30",4.89M,-0.82%
"Jun 29, 2018","1,847.75","1,844.90","1,867.40","1,842.30",3.51M,0.27%
"Jul 02, 2018","1,851.35","1,852.00","1,857.80","1,841.10",2.65M,0.19%
"Jul 03, 2018","1,874.05","1,859.95","1,879.90","1,857.05",3.24M,1.23%
"Jul 04, 2018","1,866.15","1,879.90","1,879.90","1,857.15",2.70M,-0.42%
"Jul 05, 2018","1,880.30","1,873.00","1,887.50","1,862.10",2.47M,0.76%
"Jul 06, 2018","1,912.95","1,882.85","1,921.00","1,881.65",3.71M,1.74%
"Jul 09, 2018","1,883.00","1,924.00","1,924.40","1,876.50",6.15M,-1.57%
"Jul 10, 2018","1,875.10","1,898.00","1,898.90","1,870.75",5.30M,-0.42%
"Jul 11, 2018","1,979.90","1,900.00","1,998.00","1,894.15",22.90M,5.59%
"Jul 12, 2018","1,971.35","1,984.00","1,990.90","1,960.50",6.92M,-0.43%
"Jul 13, 2018","1,981.10","1,975.00","1,997.90","1,974.00",4.15M,0.49%
"Jul 16, 2018","1,989.20","1,990.00","1,996.00","1,977.45",2.58M,0.41%
"Jul 17, 2018","2,002.15","1,989.00","2,009.00","1,981.00",3.32M,0.65%
"Jul 18, 2018","2,000.25","2,005.00","2,011.70","1,993.05",2.01M,-0.09%
"Jul 19, 2018","1,981.40","2,002.10","2,010.45","1,970.00",1.75M,-0.94%
"Jul 20, 2018","1,996.60","1,984.90","2,000.00","1,984.00",1.93M,0.77%
